Package,Total Classes,Total Methods,Total Lines,Instruction Coverage (%),Branch Coverage (%),Average Coverage (%),Status,Priority
com/imobile3/pos/data/di,50,48,54,9.59,0,4.79,Critical,Immediate
com/imobile3/pos/ui/register/setup/timeverification,2,2,7,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/customer/module/views,3,11,57,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/register/setup/language/views,5,14,43,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/about,2,9,85,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/async/queue,4,32,230,0.65,0.0,0.33,Critical,Immediate
com/imobile3/pos/ui/settings/tips,6,5,6,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/customer/contract,6,23,76,11.11,0.0,5.55,Critical,Immediate
com/imobile3/pos/ui/order/checkout/views,7,53,213,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/launch/settings,8,6,6,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/fiscalization,54,77,229,45.44,36.92,41.18,Poor,High
com/imobile3/pos/ui/common/dialog/datepicker,2,4,26,0.0,0,0.0,Critical,Immediate
com/newrelic/agent/android,1,3,3,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/register/contracts,6,20,70,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/register/management,72,249,900,37.61,33.64,35.62,Poor,High
com/imobile3/pos/ui/register/management/endofday,2,18,32,43.28,0.0,21.64,Poor,High
com/imobile3/pos/data/module/batch/close,27,195,1184,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/invoice/usecase,18,18,75,24.37,25.0,24.69,Poor,High
com/imobile3/pos/data/module/order/cart/extensions,4,82,296,60.75,59.8,60.27,Fair,High
com/imobile3/pos/data/module/order/cursor,2,14,49,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/order/cart/tender,10,90,319,81.41,79.02,80.22,Good,Low
com/imobile3/pos/ui/order/sharefairfunds/checkbalance,26,52,112,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/accessorydisplay,9,49,202,5.5,3.57,4.54,Critical,Immediate
com/imobile3/pos/ui/order/information,26,103,288,75.38,74.63,75.0,Fair,High
com/imobile3/pos/ui/inventory/itemlibrary/model,5,30,75,38.81,21.74,30.27,Poor,High
com/imobile3/pos/data/file,4,17,130,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/async/transaction/tipadjust,3,6,77,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/loyalty/customernotfound,10,9,14,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/async/transaction/upload/ext,1,2,4,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/timeclock/model,4,27,184,46.27,31.03,38.65,Poor,High
com/imobile3/pos/data/async/order,1,3,10,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/register,5,9,51,54.71,100.0,77.36,Fair,High
com/imobile3/pos/data/module/tipadjust/repository,2,2,7,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/register/setup/welcome,18,13,19,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/extensions,17,220,1115,1.36,1.74,1.55,Critical,Immediate
com/imobile3/pos/ui/order/sharefairfunds/refund,3,3,12,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/data/peripherals,13,77,682,74.32,67.52,70.92,Fair,High
com/imobile3/pos/data/module/inventory/model,5,73,132,60.25,23.91,42.08,Poor,High
com/imobile3/pos/ui/webview,20,87,257,41.06,43.33,42.2,Poor,High
com/imobile3/pos/data/module/batch/report,8,45,376,28.86,20.75,24.8,Poor,High
com/imobile3/pos/ui/order/state/completed/search/views,4,6,23,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/information/usecase,4,19,72,78.87,68.97,73.92,Fair,High
com/imobile3/pos/ui/order,150,530,1667,31.23,34.83,33.03,Poor,High
com/imobile3/pos/data/async/transaction/upload/model,5,32,87,18.57,0.0,9.29,Critical,Immediate
com/imobile3/pos/data/module/order/cart,7,96,520,41.38,23.12,32.25,Poor,High
com/imobile3/pos/ui/inventory/items/printers,4,2,2,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/inventory/views,10,38,217,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/loyalty/usecases,30,90,466,94.74,73.78,84.26,Good,Low
com/imobile3/pos/data/async/transaction/tender,8,63,434,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/app/rabbitmq,7,37,199,74.64,48.39,61.52,Fair,High
com/imobile3/pos/data/module/order/cart/tender/model,8,85,221,30.09,50.0,40.05,Poor,High
com/imobile3/pos/ui/funds/editaccountinfo/payload,4,40,22,58.33,0,29.16,Poor,High
com/imobile3/pos/data/module/funds/extensions,2,4,27,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/invoice/listing,50,129,414,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/timeclock/prompt,27,43,55,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/refund/dialog,13,16,53,23.61,0.0,11.8,Critical,Immediate
